accession	assembly_name	strain	isolate	scientific_name
GCA_056394605	ASM5639460v1	10N427		Rhizobium sp. 10N427
GCA_056394625	ASM5639462v1	10N423		Arthrobacter sp. 10N423
GCA_056394645	ASM5639464v1	10N424		Achromobacter sp. 10N424
GCA_056394665	ASM5639466v1	10N422		Stenotrophomonas sp. 10N422
GCA_056394685	ASM5639468v1	10N421		Stenotrophomonas sp. 10N421
GCA_056394705	ASM5639470v1	10N420		Variovorax sp. 10N420
GCA_056394725	ASM5639472v1	10N418		Arthrobacter sp. 10N418
GCA_056394745	ASM5639474v1	10N417		Paenarthrobacter sp. 10N417
GCA_056394765	ASM5639476v1	10N416		Mycoplana sp. 10N416
GCA_056394785	ASM5639478v1	10N414		Rhizobium sp. 10N414
GCA_056394945	ASM5639494v1	10N410		Arthrobacter sp. 10N410
GCA_056394965	ASM5639496v1	10N41_2		Cupriavidus sp. 10N41_2
GCA_056394985	ASM5639498v1	10N412		Variovorax sp. 10N412
GCA_056395005	ASM5639500v1	10N36		Stenotrophomonas sp. 10N36
GCA_056395025	ASM5639502v1	10N41		Cupriavidus sp. 10N41
GCA_056395045	ASM5639504v1	10N35		Cupriavidus sp. 10N35
GCA_056395065	ASM5639506v1	10N34		Pseudomonas sp. 10N34
GCA_056395085	ASM5639508v1	10N33		Cupriavidus sp. 10N33
GCA_056395105	ASM5639510v1	10L48		Stenotrophomonas sp. 10L48
GCA_056395125	ASM5639512v1	10L49		Microbacterium sp. 10L49
GCA_056395145	ASM5639514v1	10L47		Cupriavidus sp. 10L47
GCA_056395165	ASM5639516v1	10L46_2		Pedobacter sp. 10L46_2
GCA_056395185	ASM5639518v1	10L46		Stenotrophomonas sp. 10L46
GCA_056395205	ASM5639520v1	10L45_2		Stenotrophomonas sp. 10L45_2
GCA_056395225	ASM5639522v1	10L45		Cupriavidus sp. 10L45
GCA_056395245	ASM5639524v1	10L430		Arthrobacter sp. 10L430
GCA_056395265	ASM5639526v1	10L43_2		Cupriavidus sp. 10L43_2
GCA_056395285	ASM5639528v1	10L425		Cupriavidus sp. 10L425
GCA_056395305	ASM5639530v1	10L426		Variovorax sp. 10L426
GCA_056395325	ASM5639532v1	10L424		Arthrobacter sp. 10L424
GCA_056395345	ASM5639534v1	10L422		Allobosea sp. 10L422
GCA_056395365	ASM5639536v1	10L421		Variovorax sp. 10L421
GCA_056395385	ASM5639538v1	10L420		Paenarthrobacter sp. 10L420
GCA_056395405	ASM5639540v1	10L42		Cupriavidus sp. 10L42
GCA_056395425	ASM5639542v1	10L419		Caulobacter sp. 10L419
GCA_056395445	ASM5639544v1	10L418		Leifsonia sp. 10L418
GCA_056395465	ASM5639546v1	10L417_2		Variovorax sp. 10L417_2
GCA_056395485	ASM5639548v1	10L417		Allobosea sp. 10L417
GCA_056395505	ASM5639550v1	10L415		Cupriavidus sp. 10L415
GCA_056395525	ASM5639552v1	10L414		Caulobacter sp. 10L414
GCA_056395545	ASM5639554v1	10L413		Cupriavidus sp. 10L413
GCA_056395565	ASM5639556v1	10L412		Paenarthrobacter sp. 10L412
GCA_056395585	ASM5639558v1	10L411		Cupriavidus sp. 10L411
GCA_056395605	ASM5639560v1	10L410		Stenotrophomonas sp. 10L410
GCA_056395625	ASM5639562v1	10L39		Pseudomonas sp. 10L39
GCA_056395645	ASM5639564v1	10L38		Bacillus sp. 10L38
GCA_056395665	ASM5639566v1	10L37		Pseudomonas sp. 10L37
GCA_056395685	ASM5639568v1	10L35		Priestia sp. 10L35
GCA_056395705	ASM5639570v1	10L36		Pseudomonas sp. 10L36
GCA_056395725	ASM5639572v1	10L32		Pseudomonas sp. 10L32
GCA_056395745	ASM5639574v1	10L310		Paenibacillus sp. 10L310
GCA_056395765	ASM5639576v1	10L31		Pseudomonas sp. 10L31
GCA_056395785	ASM5639578v1	05T49		Caulobacter sp. 05T49
GCA_056395805	ASM5639580v1	05T48		Microbacterium sp. 05T48
GCA_056395825	ASM5639582v1	05T47		Arthrobacter sp. 05T47
GCA_056395845	ASM5639584v1	05T46		Stenotrophomonas sp. 05T46
GCA_056395865	ASM5639586v1	05T445		Microbacterium sp. 05T445
GCA_056395875	ASM5639587v1	05T45		Arthrobacter sp. 05T45
GCA_056395905	ASM5639590v1	05T444		Arthrobacter sp. 05T444
GCA_056395925	ASM5639592v1	05T443		Stenotrophomonas sp. 05T443
GCA_056395945	ASM5639594v1	05T442		Arthrobacter sp. 05T442
GCA_056395965	ASM5639596v1	05T440		Dyella sp. 05T440
GCA_056395985	ASM5639598v1	05T44		Pedobacter sp. 05T44
GCA_056396005	ASM5639600v1	05T439		Allobosea sp. 05T439
GCA_056396025	ASM5639602v1	05T438		Allobosea sp. 05T438
GCA_056396045	ASM5639604v1	05T437		Cupriavidus sp. 05T437
GCA_056396065	ASM5639606v1	05T433		Allobosea sp. 05T433
GCA_056396085	ASM5639608v1	05T432		Caulobacter sp. 05T432
GCA_056396105	ASM5639610v1	05T430		Cupriavidus sp. 05T430
GCA_056396125	ASM5639612v1	05T429		Cupriavidus sp. 05T429
GCA_056396145	ASM5639614v1	05T428		Caulobacter sp. 05T428
GCA_056396165	ASM5639616v1	05T427		Cupriavidus sp. 05T427
GCA_056396175	ASM5639617v1	05T426		Pseudomonas sp. 05T426
GCA_056396205	ASM5639620v1	05T425		Paenibacillus sp. 05T425
GCA_056396225	ASM5639622v1	05T424		Terrabacter sp. 05T424
GCA_056396245	ASM5639624v1	05T423		Arthrobacter sp. 05T423
GCA_056396265	ASM5639626v1	05T422_2		Allobosea sp. 05T422_2
GCA_056396285	ASM5639628v1	05T422		Cupriavidus sp. 05T422
GCA_056396305	ASM5639630v1	05T420		Arthrobacter sp. 05T420
GCA_056396325	ASM5639632v1	05T421		Lysobacter sp. 05T421
GCA_056396345	ASM5639634v1	05T42		Cupriavidus sp. 05T42
GCA_056396365	ASM5639636v1	05T419		Cupriavidus sp. 05T419
GCA_056396385	ASM5639638v1	05T418		Variovorax sp. 05T418
GCA_056396405	ASM5639640v1	05T417		Lysobacter sp. 05T417
GCA_056396425	ASM5639642v1	05T416		Lysobacter sp. 05T416
GCA_056396445	ASM5639644v1	05T414		Variovorax sp. 05T414
GCA_056396465	ASM5639646v1	05T412		Chitinophaga sp. 05T412
GCA_056396485	ASM5639648v1	05T411		Psychrobacillus sp. 05T411
GCA_056396505	ASM5639650v1	05T410		Arthrobacter sp. 05T410
GCA_056396525	ASM5639652v1	05T41		Cupriavidus sp. 05T41
GCA_056396545	ASM5639654v1	05T38		Stenotrophomonas sp. 05T38
GCA_056396565	ASM5639656v1	05T37		Pseudomonas sp. 05T37
GCA_056396585	ASM5639658v1	05T36		Pseudomonas sp. 05T36
GCA_056396605	ASM5639660v1	05T35		Pseudomonas sp. 05T35
GCA_056396625	ASM5639662v1	05T34		Pseudomonas sp. 05T34
GCA_056396645	ASM5639664v1	05T33		Pseudomonas sp. 05T33
GCA_056396665	ASM5639666v1	05T313		Cupriavidus sp. 05T313
GCA_056396685	ASM5639668v1	05T312		Pseudarthrobacter sp. 05T312
GCA_056396705	ASM5639670v1	05T310		Pseudomonas sp. 05T310
GCA_056396725	ASM5639672v1	05T31		Bacillus sp. 05T31
GCA_056396745	ASM5639674v1	05T23		Stenotrophomonas sp. 05T23
GCA_056396765	ASM5639676v1	05T22		Bacillus sp. 05T22
GCA_056396785	ASM5639678v1	05T21		Bacillus sp. 05T21
GCA_056396805	ASM5639680v1	05N49		Rhizobium sp. 05N49
GCA_056396825	ASM5639682v1	05N47		Cupriavidus sp. 05N47
GCA_056396845	ASM5639684v1	05N45		Cupriavidus sp. 05N45
GCA_056396865	ASM5639686v1	05N435		Pseudomonas sp. 05N435
GCA_056396885	ASM5639688v1	05N436		Caulobacter sp. 05N436
GCA_056396905	ASM5639690v1	05N44		Bacillus sp. 05N44
GCA_056396925	ASM5639692v1	05N433		Pseudomonas sp. 05N433
GCA_056396945	ASM5639694v1	05N432		Pseudomonas sp. 05N432
GCA_056396965	ASM5639696v1	05N434		Pseudomonas sp. 05N434
GCA_056396985	ASM5639698v1	05N430		Rhizobium sp. 05N430
GCA_056397005	ASM5639700v1	05N431		Pseudomonas sp. 05N431
GCA_056397025	ASM5639702v1	05N43		Bacillus sp. 05N43
GCA_056397045	ASM5639704v1	05N429		Arthrobacter sp. 05N429
GCA_056397065	ASM5639706v1	05N428_2		Arthrobacter sp. 05N428_2
GCA_056397085	ASM5639708v1	05N428		Peribacillus sp. 05N428
GCA_056397105	ASM5639710v1	05N427		Microbacterium sp. 05N427
GCA_056397125	ASM5639712v1	05N425		Arthrobacter sp. 05N425
GCA_056397145	ASM5639714v1	05N423		Stenotrophomonas sp. 05N423
GCA_056397165	ASM5639716v1	05N422		Variovorax sp. 05N422
GCA_056397185	ASM5639718v1	05N42		Stenotrophomonas sp. 05N42
GCA_056397205	ASM5639720v1	05N420		Massilia sp. 05N420
GCA_056397225	ASM5639722v1	05N419		Cupriavidus sp. 05N419
GCA_056397245	ASM5639724v1	05N414		Cupriavidus sp. 05N414
GCA_056397265	ASM5639726v1	05N413		Pedobacter sp. 05N413
GCA_056397285	ASM5639728v1	05N411		Cupriavidus sp. 05N411
GCA_056397305	ASM5639730v1	05N40		Cupriavidus sp. 05N40
GCA_056397325	ASM5639732v1	05N39		Cupriavidus sp. 05N39
GCA_056397345	ASM5639734v1	05N38		Cupriavidus sp. 05N38
GCA_056397365	ASM5639736v1	05N37		Stenotrophomonas sp. 05N37
GCA_056397385	ASM5639738v1	05N36		Pseudomonas sp. 05N36
GCA_056397405	ASM5639740v1	05N34		Variovorax sp. 05N34
GCA_056397425	ASM5639742v1	05N33_2		Arthrobacter sp. 05N33_2
GCA_056397445	ASM5639744v1	05N33		Neorhizobium sp. 05N33
GCA_056397465	ASM5639746v1	05N32		Arthrobacter sp. 05N32
GCA_056397485	ASM5639748v1	05N31		Arthrobacter sp. 05N31
GCA_056397505	ASM5639750v1	05L47		Stenotrophomonas sp. 05L47
GCA_056397525	ASM5639752v1	05L45_2		Arthrobacter sp. 05L45_2
GCA_056397545	ASM5639754v1	05L45		Cupriavidus sp. 05L45
GCA_056397565	ASM5639756v1	05L44_3		Lysinibacillus sp. 05L44_3
GCA_056397585	ASM5639758v1	05L430		Pedobacter sp. 05L430
GCA_056397605	ASM5639760v1	05L44		Arthrobacter sp. 05L44
GCA_056397625	ASM5639762v1	05L43		Cupriavidus sp. 05L43
GCA_056397645	ASM5639764v1	05L429		Rhizobium sp. 05L429
GCA_056397665	ASM5639766v1	05L428		Arthrobacter sp. 05L428
GCA_056397685	ASM5639768v1	05L427		Microvirga sp. 05L427
GCA_056397705	ASM5639770v1	05L425		Variovorax sp. 05L425
GCA_056397725	ASM5639772v1	05L423_2		Bacillus sp. 05L423_2
GCA_056397745	ASM5639774v1	05L423		Allobosea sp. 05L423
GCA_056397765	ASM5639776v1	05L422		Caulobacter sp. 05L422
GCA_056397785	ASM5639778v1	05L421		Arthrobacter sp. 05L421
GCA_056397805	ASM5639780v1	05L420		Pedobacter sp. 05L420
GCA_056397825	ASM5639782v1	05L42		Cupriavidus sp. 05L42
GCA_056397845	ASM5639784v1	05L419		Rhizobium sp. 05L419
GCA_056397865	ASM5639786v1	05L417		Arthrobacter sp. 05L417
GCA_056397885	ASM5639788v1	05L416		Lysobacter sp. 05L416
GCA_056397905	ASM5639790v1	05L414_2		Stenotrophomonas sp. 05L414_2
GCA_056397925	ASM5639792v1	05L414		Cupriavidus sp. 05L414
GCA_056397945	ASM5639794v1	05L413		Stenotrophomonas sp. 05L413
GCA_056397965	ASM5639796v1	05L412_3		Stenotrophomonas sp. 05L412_3
GCA_056397985	ASM5639798v1	05L412_4		Bacillus sp. 05L412_4
GCA_056398005	ASM5639800v1	05L412_2		Caulobacter sp. 05L412_2
GCA_056398025	ASM5639802v1	05L412		Bacillus sp. 05L412
GCA_056398045	ASM5639804v1	05L411		Cupriavidus sp. 05L411
GCA_056398065	ASM5639806v1	05L39		Pseudomonas sp. 05L39
GCA_056398085	ASM5639808v1	05L38_2		Stenotrophomonas sp. 05L38_2
GCA_056398105	ASM5639810v1	05L36_2		Stenotrophomonas sp. 05L36_2
GCA_056398125	ASM5639812v1	05L36		Pseudomonas sp. 05L36
GCA_056398145	ASM5639814v1	05L34_2		Stenotrophomonas sp. 05L34_2
GCA_056398165	ASM5639816v1	05L32		Pseudomonas sp. 05L32
GCA_056398185	ASM5639818v1	05L310		Cupriavidus sp. 05L310
GCA_056398205	ASM5639820v1	01T49		Pedobacter sp. 01T49
GCA_056398225	ASM5639822v1	01T47_2		Arthrobacter sp. 01T47_2
GCA_056398245	ASM5639824v1	01T47		Paenibacillus sp. 01T47
GCA_056398265	ASM5639826v1	01T46		Caulobacter sp. 01T46
GCA_056398285	ASM5639828v1	01T445		Dyella sp. 01T445
GCA_056398305	ASM5639830v1	01T444		Rhizobium sp. 01T444
GCA_056398325	ASM5639832v1	01T443		Paenibacillus sp. 01T443
GCA_056398345	ASM5639834v1	01T442		Paenibacillus sp. 01T442
GCA_056398365	ASM5639836v1	01T441		Allobosea sp. 01T441
GCA_056398385	ASM5639838v1	01T440		Variovorax sp. 01T440
GCA_056398405	ASM5639840v1	01T44		Cupriavidus sp. 01T44
GCA_056398425	ASM5639842v1	01T439		Microbacterium sp. 01T439
GCA_056398445	ASM5639844v1	01T439_2		Variovorax sp. 01T439_2
GCA_056398465	ASM5639846v1	01T438		Dyella sp. 01T438
GCA_056398485	ASM5639848v1	01T436		Rhizobium sp. 01T436
GCA_056398505	ASM5639850v1	01T437		Rhizobium sp. 01T437
GCA_056398525	ASM5639852v1	01T435		Arthrobacter sp. 01T435
GCA_056398545	ASM5639854v1	01T434		Terrabacter sp. 01T434
GCA_056398565	ASM5639856v1	01T433_2		Allobosea sp. 01T433_2
GCA_056398585	ASM5639858v1	01T433		Aminobacter sp. 01T433
GCA_056398605	ASM5639860v1	01T432		Variovorax sp. 01T432
GCA_056398625	ASM5639862v1	01T431		Paenibacillus sp. 01T431
GCA_056398645	ASM5639864v1	01T430		Cupriavidus sp. 01T430
GCA_056398665	ASM5639866v1	01T43		Pseudarthrobacter sp. 01T43
GCA_056398685	ASM5639868v1	01T428		Arthrobacter sp. 01T428
GCA_056398705	ASM5639870v1	01T427		Aminobacter sp. 01T427
GCA_056398725	ASM5639872v1	01T425		Arthrobacter sp. 01T425
GCA_056398745	ASM5639874v1	01T424		Paenibacillus sp. 01T424
GCA_056398765	ASM5639876v1	01T423		Cupriavidus sp. 01T423
GCA_056398785	ASM5639878v1	01T422		Paenibacillus sp. 01T422
GCA_056398805	ASM5639880v1	01T421		Hyphomicrobium sp. 01T421
GCA_056398825	ASM5639882v1	01T420		Stenotrophomonas sp. 01T420
GCA_056398845	ASM5639884v1	01T419_2		Bacillus sp. 01T419_2
GCA_056398865	ASM5639886v1	01T419		Arthrobacter sp. 01T419
GCA_056398885	ASM5639888v1	01T418		Cupriavidus sp. 01T418
GCA_056398905	ASM5639890v1	01T417		Rhizobium sp. 01T417
GCA_056398925	ASM5639892v1	01T416_2		Pedobacter sp. 01T416_2
GCA_056398945	ASM5639894v1	01T416		Dyella sp. 01T416
GCA_056398965	ASM5639896v1	01T414		Arthrobacter sp. 01T414
GCA_056398985	ASM5639898v1	01T413_2		Microbacterium sp. 01T413_2
GCA_056399005	ASM5639900v1	01T412		Caulobacter sp. 01T412
GCA_056399025	ASM5639902v1	01T411		Stenotrophomonas sp. 01T411
GCA_056399045	ASM5639904v1	01T41		Cupriavidus sp. 01T41
GCA_056399065	ASM5639906v1	01T39		Stenotrophomonas sp. 01T39
GCA_056399085	ASM5639908v1	01T37		Stenotrophomonas sp. 01T37
GCA_056399105	ASM5639910v1	01T32		Bacillus sp. 01T32
GCA_056399125	ASM5639912v1	01T31		Pseudomonas sp. 01T31
GCA_056399145	ASM5639914v1	01N48		Rhizobium sp. 01N48
GCA_056399165	ASM5639916v1	01N47		Stenotrophomonas sp. 01N47
GCA_056399185	ASM5639918v1	01N46		Stenotrophomonas sp. 01N46
GCA_056399205	ASM5639920v1	01N45		Bacillus sp. 01N45
GCA_056399225	ASM5639922v1	01N448		Dyella sp. 01N448
GCA_056399245	ASM5639924v1	01N447_2		Rhizobium sp. 01N447_2
GCA_056399265	ASM5639926v1	01N447		Pedobacter sp. 01N447
GCA_056399285	ASM5639928v1	01N446		Mesorhizobium sp. 01N446
GCA_056399305	ASM5639930v1	01N444		Arthrobacter sp. 01N444
GCA_056399325	ASM5639932v1	01N443		Allobosea sp. 01N443
GCA_056399345	ASM5639934v1	01N442		Arthrobacter sp. 01N442
GCA_056399365	ASM5639936v1	01N44		Cupriavidus sp. 01N44
GCA_056399385	ASM5639938v1	01N43		Cupriavidus sp. 01N43
GCA_056399405	ASM5639940v1	01N428		Phyllobacterium sp. 01N428
GCA_056399425	ASM5639942v1	01N429		Variovorax sp. 01N429
GCA_056399445	ASM5639944v1	01N427		Caulobacter sp. 01N427
GCA_056399465	ASM5639946v1	01N425		Variovorax sp. 01N425
GCA_056399485	ASM5639948v1	01N424		Rhizobium sp. 01N424
GCA_056399505	ASM5639950v1	01N423		Pedobacter sp. 01N423
GCA_056399525	ASM5639952v1	01N422		Stenotrophomonas sp. 01N422
GCA_056399545	ASM5639954v1	01N42_3		Pseudomonas sp. 01N42_3
GCA_056399565	ASM5639956v1	01N42_2		Bacillus sp. 01N42_2
GCA_056399585	ASM5639958v1	01N419		Cupriavidus sp. 01N419
GCA_056399605	ASM5639960v1	01N418		Variovorax sp. 01N418
GCA_056399625	ASM5639962v1	01N418_2		Allobosea sp. 01N418_2
GCA_056399645	ASM5639964v1	01N417		Massilia sp. 01N417
GCA_056399665	ASM5639966v1	01N410		Massilia sp. 01N410
GCA_056399685	ASM5639968v1	01N416		Pedobacter sp. 01N416
GCA_056399705	ASM5639970v1	01N38		Dyella sp. 01N38
GCA_056399725	ASM5639972v1	01N37		Achromobacter sp. 01N37
GCA_056399745	ASM5639974v1	01N36		Dyella sp. 01N36
GCA_056399765	ASM5639976v1	01N33		Pseudomonas sp. 01N33
GCA_056399785	ASM5639978v1	01N35		Brevundimonas sp. 01N35
GCA_056399805	ASM5639980v1	01N310		Pedobacter sp. 01N310
GCA_056399825	ASM5639982v1	01L49		Cupriavidus sp. 01L49
GCA_056399845	ASM5639984v1	01L49_2		Caulobacter sp. 01L49_2
GCA_056399865	ASM5639986v1	01L47		Stenotrophomonas sp. 01L47
GCA_056399885	ASM5639988v1	01L45		Cupriavidus sp. 01L45
GCA_056399905	ASM5639990v1	01L46		Cupriavidus sp. 01L46
GCA_056399925	ASM5639992v1	01L43		Cupriavidus sp. 01L43
GCA_056399945	ASM5639994v1	01L423		Dyella sp. 01L423
GCA_056399965	ASM5639996v1	01L422		Caulobacter sp. 01L422
GCA_056399985	ASM5639998v1	01L420		Chitinophaga sp. 01L420
GCA_056400005	ASM5640000v1	01L42		Arthrobacter sp. 01L42
GCA_056400025	ASM5640002v1	01L419		Rhizobium sp. 01L419
GCA_056400045	ASM5640004v1	01L418		Paenibacillus sp. 01L418
GCA_056400065	ASM5640006v1	01L415		Cupriavidus sp. 01L415
GCA_056400085	ASM5640008v1	01L416		Pedobacter sp. 01L416
GCA_056400105	ASM5640010v1	01L414		Cupriavidus sp. 01L414
GCA_056400125	ASM5640012v1	01L412		Cupriavidus sp. 01L412
GCA_056400145	ASM5640014v1	01L411		Pseudomonas sp. 01L411
GCA_056400165	ASM5640016v1	01L410		Rhizobium sp. 01L410
GCA_056400185	ASM5640018v1	01L38		Stenotrophomonas sp. 01L38
GCA_056400205	ASM5640020v1	01L41		Cupriavidus sp. 01L41
GCA_056400225	ASM5640022v1	01L37		Stenotrophomonas sp. 01L37
GCA_056400235	ASM5640023v1	01L33		Pseudomonas sp. 01L33
GCA_056400265	ASM5640026v1	01L34		Pseudomonas sp. 01L34
GCA_056400285	ASM5640028v1	01L31		Pseudomonas sp. 01L31
GCA_056400305	ASM5640030v1	10T428		Rhizobium sp. 10T428
GCA_056400325	ASM5640032v1	01L310		Cupriavidus sp. 01L310
GCA_056555115	ASM5655511v1	05L415		Stenotrophomonas sp. 05L415
GCA_056555285	ASM5655528v1	01N412		Cupriavidus sp. 01N412
GCA_056665975	ASM5666597v1	05T431		Caulobacter sp. 05T431
GCA_056665995	ASM5666599v1	05L44_2		Stenotrophomonas sp. 05L44_2
