accession	assembly_name	strain	isolate	scientific_name
GCA_052114665	ASM5211466v1	2YAF22		Stenotrophomonas sp. 2YAF22
GCA_052114685	ASM5211468v1	2YAF20		Rhizobium sp. 2YAF20
GCA_052114705	ASM5211470v1	2YAF2		Terrabacter sp. 2YAF2
GCA_052114725	ASM5211472v1	2YAF14		Dyella sp. 2YAF14
GCA_052114745	ASM5211474v1	2YAF1		Brevundimonas sp. 2YAF1
GCA_052114765	ASM5211476v1	2YAB30_2		Terriglobus sp. 2YAB30_2
GCA_052114785	ASM5211478v1	2YAB30		Nocardia sp. 2YAB30
GCA_052114805	ASM5211480v1	2YAB26		Allobosea sp. 2YAB26
GCA_052114825	ASM5211482v1	2TAF8		Paenibacillus sp. 2TAF8
GCA_052114845	ASM5211484v1	2YAB10		Ensifer sp. 2YAB10
GCA_052114865	ASM5211486v1	2TAF46		Hyphomicrobium sp. 2TAF46
GCA_052114885	ASM5211488v1	2TAF44		Paenarthrobacter sp. 2TAF44
GCA_052114905	ASM5211490v1	2TAF39		Nocardia sp. 2TAF39
GCA_052114925	ASM5211492v1	2TAF36		Bradyrhizobium sp. 2TAF36
GCA_052114945	ASM5211494v1	2TAF33		Glaciibacter sp. 2TAF33
GCA_052114965	ASM5211496v1	2TAF3		Microvirga sp. 2TAF3
GCA_052114985	ASM5211498v1	2TAF27		Rhizobium sp. 2TAF27
GCA_052115005	ASM5211500v1	2TAF26		Massilia sp. 2TAF26
GCA_052115025	ASM5211502v1	2TAF24		Bradyrhizobium sp. 2TAF24
GCA_052115045	ASM5211504v1	2TAF22		Cupriavidus sp. 2TAF22
GCA_052115065	ASM5211506v1	2TAF16		Terrabacter sp. 2TAF16
GCA_052115085	ASM5211508v1	2TAF2		Leifsonia sp. 2TAF2
GCA_052115105	ASM5211510v1	2TAF14		Chryseobacterium sp. 2TAF14
GCA_052115125	ASM5211512v1	2TAB8		Ensifer sp. 2TAB8
GCA_052115145	ASM5211514v1	2TAB26		Paenibacillus sp. 2TAB26
GCA_052115165	ASM5211516v1	2TAB23		Paenibacillus sp. 2TAB23
GCA_052115185	ASM5211518v1	2TAB19		Paenibacillus sp. 2TAB19
GCA_052115205	ASM5211520v1	2RAF6		Arthrobacter sp. 2RAF6
GCA_052115225	ASM5211522v1	2RAF45		Mesorhizobium sp. 2RAF45
GCA_052115245	ASM5211524v1	2RAF44		Dyella sp. 2RAF44
GCA_052115265	ASM5211526v1	2RAF25		Terrabacter sp. 2RAF25
GCA_052115285	ASM5211528v1	2RAF4		Microbacterium sp. 2RAF4
GCA_052115305	ASM5211530v1	2RAF24		Streptomyces sp. 2RAF24
GCA_052115325	ASM5211532v1	2RAF22		Arthrobacter sp. 2RAF22
GCA_052115345	ASM5211534v1	2RAF21		Mesorhizobium sp. 2RAF21
GCA_052115365	ASM5211536v1	2RAF20		Variovorax sp. 2RAF20
GCA_052115385	ASM5211538v1	2RAB6		Dyella sp. 2RAB6
GCA_052115395	ASM5211539v1	2RAF19		Lysobacter sp. 2RAF19
GCA_052115425	ASM5211542v1	2RAB30		Rhizobiaceae sp. 2RAB30
GCA_052115445	ASM5211544v1	2RAB27		Paenibacillus sp. 2RAB27
GCA_052115465	ASM5211546v1	2RAB26		Allobosea sp. 2RAB26
GCA_052115485	ASM5211548v1	2MCAF38		Microvirga sp. 2MCAF38
GCA_052115495	ASM5211549v1	2RAB21		Lysobacter sp. 2RAB21
GCA_052115525	ASM5211552v1	2MCAF36		Leifsonia sp. 2MCAF36
GCA_052115545	ASM5211554v1	2MCAF35		Microvirga sp. 2MCAF35
GCA_052115565	ASM5211556v1	2MCAF23		Microbacterium sp. 2MCAF23
GCA_052115585	ASM5211558v1	2MCAF27		Streptomyces sp. 2MCAF27
GCA_052115605	ASM5211560v1	2MCAF15		Arthrobacter sp. 2MCAF15
GCA_052115625	ASM5211562v1	2MCAF14_2		Stenotrophomonas sp. 2MCAF14_2
GCA_052115645	ASM5211564v1	2MCAF14		Arthrobacter sp. 2MCAF14
GCA_052115665	ASM5211566v1	2MCAB6		Cupriavidus sp. 2MCAB6
GCA_052115685	ASM5211568v1	2KB_3		Cupriavidus sp. 2KB_3
GCA_052115705	ASM5211570v1	2KB_23		Inquilinus sp. 2KB_23
GCA_052115715	ASM5211571v1	2KB_26		Allobosea sp. 2KB_26
GCA_052115745	ASM5211574v1	2KB_22		Paenibacillus sp. 2KB_22
GCA_052115765	ASM5211576v1	2KB_20		Paenibacillus sp. 2KB_20
GCA_052115785	ASM5211578v1	2KB_15		Cupriavidus sp. 2KB_15
GCA_052115805	ASM5211580v1	2KB_12		Inquilinus sp. 2KB_12
